league,team,h_for,h_against,a_for,a_against,n_home,n_away
sp2,valladolid,3.6666666666666665,3.6666666666666665,3.625,4.0,6,8
sp2,zaragoza,4.75,4.166666666666667,3.909090909090909,5.2727272727272725,12,11
sw1,aarau,3.0,6.0,3.0,3.0,1,1
sw1,basel,5.333333333333333,4.466666666666667,5.076923076923077,5.6923076923076925,15,13
sw1,grasshoppers,5.0,4.428571428571429,3.7857142857142856,4.928571428571429,14,14
sw1,lausanne,6.0,4.466666666666667,4.538461538461538,6.076923076923077,15,13
sw1,lugano,3.3076923076923075,4.769230769230769,4.5,6.125,13,16
sw1,luzern,6.214285714285714,4.714285714285714,4.416666666666667,5.333333333333333,14,12
sw1,servette,5.923076923076923,3.8461538461538463,6.3076923076923075,4.538461538461538,13,13
sw1,sion,4.357142857142857,4.428571428571429,4.6923076923076925,5.769230769230769,14,13
sw1,st. gallen,6.285714285714286,5.142857142857143,4.5,5.285714285714286,14,14
sw1,thun,7.5,4.0,6.222222222222222,3.2222222222222223,10,9
sw1,winterthur,4.769230769230769,5.153846153846154,3.2142857142857144,6.5,13,14
sw1,young boys,6.076923076923077,3.5384615384615383,4.466666666666667,4.533333333333333,13,15
sw1,yverdon,5.0,5.0,2.5,6.0,4,4
sw1,zurich,5.5,5.25,4.285714285714286,6.714285714285714,12,14
